Name,HR,SB,BB%,K%,AVG,OBP,SLG,WAR,Position
Aaron Judge,58,10,18.90%,24.30%,0.322,0.458,0.701,11.2,OF
Bobby Witt Jr.,32,31,8.00%,15.00%,0.332,0.389,0.588,10.4,INF
Shohei Ohtani,54,59,11.10%,22.20%,0.31,0.39,0.646,9.1,DH
Juan Soto,41,7,18.10%,16.70%,0.288,0.419,0.569,8.1,OF
Gunnar Henderson,37,21,10.80%,22.10%,0.281,0.364,0.529,8,INF
Francisco Lindor,33,29,8.10%,18.40%,0.273,0.344,0.5,7.8,INF
Jarren Duran,21,34,7.30%,21.80%,0.285,0.342,0.492,6.7,OF
Jose Ramirez,39,41,7.90%,12.00%,0.279,0.335,0.537,6.5,INF
Elly De La Cruz,25,67,9.90%,31.30%,0.259,0.339,0.471,6.4,INF
Ketel Marte,36,7,11.10%,18.20%,0.292,0.372,0.56,6.3,INF
Matt Chapman,27,15,9.90%,24.40%,0.247,0.328,0.463,5.4,INF
William Contreras,23,9,11.50%,20.50%,0.281,0.365,0.466,5.4,C
Cal Raleigh,34,6,11.10%,28.00%,0.22,0.312,0.436,5.4,C
Vladimir Guerrero Jr.,30,2,10.30%,13.80%,0.323,0.396,0.544,5.4,INF
Jackson Merrill,24,16,4.90%,17.00%,0.292,0.326,0.5,5.3,OF
Yordan Alvarez,35,6,10.90%,15.00%,0.308,0.392,0.567,5.3,DH
Bryce Harper,30,7,12.00%,21.90%,0.285,0.373,0.525,5.2,INF
Brent Rooker,39,11,9.60%,28.80%,0.293,0.365,0.562,5.1,DH
Willy Adames,32,21,10.80%,25.10%,0.251,0.331,0.462,4.8,INF
Marcell Ozuna,39,1,10.80%,24.70%,0.302,0.378,0.546,4.7,DH
Corey Seager,30,1,9.90%,18.00%,0.278,0.353,0.512,4.6,INF
Mookie Betts,19,16,11.80%,11.00%,0.289,0.372,0.491,4.4,OF
Jurickson Profar,24,10,11.40%,15.10%,0.28,0.38,0.459,4.3,OF
Dansby Swanson,16,19,9.10%,24.30%,0.242,0.312,0.39,4.3,INF
Marcus Semien,23,8,8.90%,14.60%,0.237,0.308,0.391,4.2,INF
Alex Bregman,26,3,6.90%,13.60%,0.26,0.315,0.453,4.2,INF
Steven Kwan,14,12,9.80%,9.40%,0.292,0.368,0.425,4.1,OF
Rafael Devers,28,3,11.10%,24.50%,0.272,0.354,0.516,4.1,INF
Freddie Freeman,22,9,12.20%,15.70%,0.282,0.378,0.476,4.1,INF
Corbin Carroll,22,35,10.70%,19.00%,0.231,0.322,0.428,4,OF
Colton Cowser,24,9,9.30%,30.70%,0.242,0.321,0.447,4,OF
Riley Greene,24,4,11.00%,26.70%,0.262,0.348,0.479,4,OF
Jazz Chisholm Jr.,24,40,8.50%,24.50%,0.256,0.324,0.436,4,INF
Nico Hoerner,7,31,6.90%,10.30%,0.273,0.335,0.373,4,INF
Jose Altuve,20,22,6.90%,17.40%,0.295,0.35,0.439,3.9,INF
Trea Turner,21,19,5.00%,18.20%,0.295,0.338,0.469,3.9,INF
Jackson Chourio,21,22,6.80%,21.10%,0.275,0.327,0.464,3.9,OF
Julio Rodriguez,20,24,6.20%,25.40%,0.273,0.325,0.409,3.9,OF
Eugenio Suarez,30,2,7.70%,27.50%,0.256,0.319,0.469,3.8,INF
Ezequiel Tovar,26,6,3.30%,28.80%,0.269,0.295,0.469,3.7,INF
Brenton Doyle,23,30,7.60%,25.40%,0.26,0.317,0.446,3.6,OF
Ian Happ,25,13,12.20%,25.60%,0.243,0.341,0.441,3.6,OF
Masyn Winn,15,11,6.40%,17.10%,0.267,0.314,0.416,3.6,INF
Seiya Suzuki,21,16,10.80%,27.40%,0.283,0.366,0.482,3.6,OF
Manny Machado,29,11,7.00%,19.30%,0.275,0.325,0.472,3.5,INF
Oneil Cruz,21,22,8.50%,30.20%,0.259,0.324,0.449,3.5,INF
Alec Bohm,15,5,6.60%,14.20%,0.28,0.332,0.448,3.5,INF
Teoscar Hernandez,33,12,8.10%,28.80%,0.272,0.339,0.501,3.5,OF
